algorithm,model,epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,virtual_time,epoch_virtual_time,comm_round,async_updates,comm_bytes,comm_mb,epoch_comm_bytes,epoch_comm_mb,avg_staleness,max_staleness,min_staleness,num_workers,batch_size,lr,worker_delays,server_version
async_sgd,mlp,1,0.5825199563331719,84.92671552298468,0.32196615967750547,91.08000000000001,25.63479495048523,25.63479495048523,310.0,310.0,940,940,765310400,729.8568725585938,765310400,729.8568725585938,2.9936170212765956,30,0,4,64,0.01,1-1-1-10,940
async_sgd,mlp,2,0.3024954152992771,91.41738840772818,0.2658870092391968,92.47999999999999,26.98618483543396,52.62097978591919,620.0,310.0,1880,940,1530620800,1459.7137451171875,765310400,729.8568725585938,2.9936170212765956,30,0,4,64,0.01,1-1-1-10,1880
async_sgd,mlp,3,0.25632058414596465,92.73984010659561,0.23152221411466598,93.42,26.581260919570923,79.20224070549011,930.0,310.0,2820,940,2295931200,2189.5706176757812,765310400,729.8568725585938,2.9936170212765956,30,0,4,64,0.01,1-1-1-10,2820
async_sgd,mlp,4,0.22224778627879788,93.73497997329773,0.20592131980657577,94.14,26.656078577041626,105.85831928253174,1240.0,310.0,3760,940,3061241600,2919.427490234375,765310400,729.8568725585938,2.9936170212765956,30,0,4,64,0.01,1-1-1-10,3760
async_sgd,mlp,5,0.19688473008796423,94.50033311125917,0.18904288921952248,94.62,26.714473247528076,132.57279253005981,1550.0,310.0,4700,940,3826552000,3649.2843627929688,765310400,729.8568725585938,2.9936170212765956,30,0,4,64,0.01,1-1-1-10,4700
async_sgd,mlp,6,0.17566112061189382,95.12824783477681,0.1715561654627323,95.03,26.693915843963623,159.26670837402344,1860.0,310.0,5640,940,4591862400,4379.1412353515625,765310400,729.8568725585938,2.9936170212765956,30,0,4,64,0.01,1-1-1-10,5640
async_sgd,mlp,7,0.15857580672596422,95.61081441922563,0.15854301834702492,95.48,26.717968463897705,185.98467683792114,2170.0,310.0,6580,940,5357172800,5108.998107910156,765310400,729.8568725585938,2.9936170212765956,30,0,4,64,0.01,1-1-1-10,6580
async_sgd,mlp,8,0.14677074447522562,95.93666666666667,0.15045427446365356,95.6,26.359804391860962,212.3444812297821,2480.0,310.0,7520,940,6122483200,5838.85498046875,765310400,729.8568725585938,2.9936170212765956,30,0,4,64,0.01,1-1-1-10,7520
async_sgd,mlp,9,0.13306536733468796,96.39573617588275,0.13998908593058587,95.96000000000001,26.45181179046631,238.7962930202484,2790.0,310.0,8460,940,6887793600,6568.711853027344,765310400,729.8568725585938,2.9936170212765956,30,0,4,64,0.01,1-1-1-10,8460
async_sgd,mlp,10,0.12665461889126256,96.4906728847435,0.13293089998960494,96.2,26.68136215209961,265.477655172348,3100.0,310.0,9400,940,7653104000,7298.5687255859375,765310400,729.8568725585938,2.9936170212765956,30,0,4,64,0.01,1-1-1-10,9400
