algorithm,model,epoch,num_workers,batch_size_per_worker,local_steps,processed_samples_per_comm_round,batches_per_worker,rounds_per_epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,comm_round,comm_bytes,comm_mb,server_version,virtual_time
local_sgd,mlp,1,4,64,20,5120,235,12,1.0627302098017448,75.15828981723237,0.5395640441894531,87.0,23.892802953720093,23.892802953720093,12,39079680,37.269287109375,12,23.892802953720093
local_sgd,mlp,2,4,64,20,5120,235,12,0.4741713419790056,87.64523498694517,0.39371452078819275,89.43,24.132707595825195,48.03951120376587,24,78159360,74.53857421875,24,48.03951120376587
local_sgd,mlp,3,4,64,20,5120,235,12,0.38653731694342885,89.33746736292429,0.3460641271352768,90.43,23.48406481742859,71.5311963558197,36,117239040,111.807861328125,36,71.5311963558197
local_sgd,mlp,4,4,64,20,5120,235,12,0.34628575733101713,90.10770234986946,0.31762648046016695,91.04,23.412453174591064,94.9486494064331,48,156318720,149.0771484375,48,94.9486494064331
local_sgd,mlp,5,4,64,20,5120,235,12,0.32345021810995384,90.80776762402088,0.29847672290802,91.57,22.797324180603027,117.75097370147705,60,195398400,186.346435546875,60,117.75097370147705
local_sgd,mlp,6,4,64,20,5120,235,12,0.30630408739452264,91.25652741514361,0.28415091700553896,92.04,22.761374711990356,140.5163493156433,72,234478080,223.61572265625,72,140.5163493156433
local_sgd,mlp,7,4,64,20,5120,235,12,0.2881847672339519,91.84236292428199,0.2713808302640915,92.41,20.814232110977173,161.33558440208435,84,273557760,260.885009765625,84,161.33558440208435
local_sgd,mlp,8,4,64,20,5120,235,12,0.2759129951890393,92.072454308094,0.261442112994194,92.59,22.680450201034546,184.0211160182953,96,312637440,298.154296875,96,184.0211160182953
local_sgd,mlp,9,4,64,20,5120,235,12,0.2659683534024434,92.40208877284596,0.25152637944221495,92.81,23.187419414520264,207.21275544166565,108,351717120,335.423583984375,108,207.21275544166565
local_sgd,mlp,10,4,64,20,5120,235,12,0.2535209810492575,92.73009138381201,0.24484932709932328,93.03,23.080726623535156,230.2975914478302,120,390796800,372.69287109375,120,230.2975914478302
