algorithm,model,epoch,num_workers,batch_size_per_worker,effective_batch_size,steps_per_epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,comm_round,comm_bytes,comm_mb,server_version,worker_delays,max_worker_delay,epoch_virtual_time,virtual_time
sync_sgd,mlp,1,4,64,256,235,1.0712264010429382,75.20833333333333,0.546959912776947,86.75,23.81102466583252,23.81102466583252,235,765310400,729.8568725585938,235,1-1-1-5,5.0,1175.0,1175.0
sync_sgd,mlp,2,4,64,256,235,0.4770219462394714,87.65166666666667,0.3979421692609787,89.26,24.148881196975708,47.970906019210815,470,1530620800,1459.7137451171875,470,1-1-1-5,5.0,1175.0,2350.0
sync_sgd,mlp,3,4,64,256,235,0.38768805966178577,89.27,0.3469715584754944,90.44,24.148456811904907,72.12336301803589,705,2295931200,2189.5706176757812,705,1-1-1-5,5.0,1175.0,3525.0
sync_sgd,mlp,4,4,64,256,235,0.3482171990553538,90.14,0.31978644654750826,91.07,23.9710693359375,96.09943127632141,940,3061241600,2919.427490234375,940,1-1-1-5,5.0,1175.0,4700.0
sync_sgd,mlp,5,4,64,256,235,0.3235345693230629,90.80666666666667,0.30037388875484466,91.49,24.281337022781372,120.38496541976929,1175,3826552000,3649.2843627929688,1175,1-1-1-5,5.0,1175.0,5875.0
sync_sgd,mlp,6,4,64,256,235,0.3053165421485901,91.28666666666666,0.2857352747440338,91.94,24.15494465827942,144.54391074180603,1410,4591862400,4379.1412353515625,1410,1-1-1-5,5.0,1175.0,7050.0
sync_sgd,mlp,7,4,64,256,235,0.2900975090901057,91.74,0.2731996089220047,92.22,24.11342167854309,168.6613326072693,1645,5357172800,5108.998107910156,1645,1-1-1-5,5.0,1175.0,8225.0
sync_sgd,mlp,8,4,64,256,235,0.2775021747450034,92.04666666666667,0.2641688764572144,92.46,24.08370304107666,192.74903559684753,1880,6122483200,5838.85498046875,1880,1-1-1-5,5.0,1175.0,9400.0
sync_sgd,mlp,9,4,64,256,235,0.2663466150244077,92.39166666666667,0.25380773496627806,92.7,24.10718822479248,216.8612232208252,2115,6887793600,6568.711853027344,2115,1-1-1-5,5.0,1175.0,10575.0
sync_sgd,mlp,10,4,64,256,235,0.2561051207870245,92.66,0.2459554824233055,92.85,24.368382215499878,241.23354768753052,2350,7653104000,7298.5687255859375,2350,1-1-1-5,5.0,1175.0,11750.0
