algorithm,model,epoch,num_workers,batch_size_per_worker,effective_batch_size,steps_per_epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,comm_round,comm_bytes,comm_mb,server_version,virtual_time
sync_sgd,mlp,1,4,64,256,235,1.0712264010429382,75.20833333333333,0.546959912776947,86.75,23.270296335220337,23.270296335220337,235,765310400,729.8568725585938,235,23.270296335220337
sync_sgd,mlp,2,4,64,256,235,0.4770219462394714,87.65166666666667,0.3979421692609787,89.26,25.61619257926941,48.89749360084534,470,1530620800,1459.7137451171875,470,48.89749360084534
sync_sgd,mlp,3,4,64,256,235,0.38768805966178577,89.27,0.3469715584754944,90.44,25.54617476463318,74.45166301727295,705,2295931200,2189.5706176757812,705,74.45166301727295
sync_sgd,mlp,4,4,64,256,235,0.3482171990553538,90.14,0.31978644654750826,91.07,26.057804107666016,100.51347160339355,940,3061241600,2919.427490234375,940,100.51347160339355
sync_sgd,mlp,5,4,64,256,235,0.3235345693230629,90.80666666666667,0.30037388875484466,91.49,25.11497664451599,125.63244771957397,1175,3826552000,3649.2843627929688,1175,125.63244771957397
sync_sgd,mlp,6,4,64,256,235,0.3053165421485901,91.28666666666666,0.2857352747440338,91.94,26.492438077926636,152.12888264656067,1410,4591862400,4379.1412353515625,1410,152.12888264656067
sync_sgd,mlp,7,4,64,256,235,0.2900975090901057,91.74,0.2731996089220047,92.22,26.08480739593506,178.21869230270386,1645,5357172800,5108.998107910156,1645,178.21869230270386
sync_sgd,mlp,8,4,64,256,235,0.2775021747450034,92.04666666666667,0.2641688764572144,92.46,24.72922945022583,202.9529161453247,1880,6122483200,5838.85498046875,1880,202.9529161453247
sync_sgd,mlp,9,4,64,256,235,0.2663466150244077,92.39166666666667,0.25380773496627806,92.7,24.74288821220398,227.69980597496033,2115,6887793600,6568.711853027344,2115,227.69980597496033
sync_sgd,mlp,10,4,64,256,235,0.2561051207870245,92.66,0.2459554824233055,92.85,25.13689136505127,252.84069776535034,2350,7653104000,7298.5687255859375,2350,252.84069776535034
