system,dataset,model,num_workers,epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,elapsed_time,samples_per_sec,num_train_samples,num_test_samples,model_params,model_size_mb,comm_mb,seed,lr,batch_size
ddp,mnist,mlp,2,1,1.1287103361845017,0.7537,0.45231578052043914,0.8831,18.1723179,18.17232,3301.7252025950966,60000,10000,269322,1.0273818969726562,481.8421096801758,42,0.01,64
ddp,mnist,mlp,2,2,0.3885177821358045,0.8922833333333333,0.32503502666950224,0.9074,18.3180611,36.4907184,3275.4558286739198,60000,10000,269322,1.0273818969726562,481.8421096801758,42,0.01,64
ddp,mnist,mlp,2,3,0.314382835038503,0.909,0.2817055732011795,0.9196,17.187155699999998,53.6782466,3490.979022200864,60000,10000,269322,1.0273818969726562,481.8421096801758,42,0.01,64
ddp,mnist,mlp,2,4,0.27749881984790165,0.9194833333333333,0.2527940571308136,0.9276,17.370111200000004,71.0487487,3454.2093202028545,60000,10000,269322,1.0273818969726562,481.8421096801758,42,0.01,64
ddp,mnist,mlp,2,5,0.2508786704560121,0.9272666666666667,0.2332398258149624,0.9323,17.22783419999999,88.2770708,3482.7360945927862,60000,10000,269322,1.0273818969726562,481.8421096801758,42,0.01,64
ddp,mnist,mlp,2,6,0.2298556088109811,0.93355,0.2181064523756504,0.9343,18.16231979999999,106.4397679,3303.5427555900665,60000,10000,269322,1.0273818969726562,481.8421096801758,42,0.01,64
ddp,mnist,mlp,2,7,0.21214156428178152,0.9393666666666667,0.19920659214258193,0.942,16.887228899999997,123.3274413,3552.9807972224507,60000,10000,269322,1.0273818969726562,481.8421096801758,42,0.01,64
ddp,mnist,mlp,2,8,0.19671368350187937,0.9437,0.18447072803974152,0.9453,17.73184479999999,141.059685,3383.742677468056,60000,10000,269322,1.0273818969726562,481.8421096801758,42,0.01,64
ddp,mnist,mlp,2,9,0.18336324417789776,0.9469666666666666,0.17650071308016776,0.9491,17.703148700000014,158.7634681,3389.227589778984,60000,10000,269322,1.0273818969726562,481.8421096801758,42,0.01,64
ddp,mnist,mlp,2,10,0.1713055806517601,0.9509833333333333,0.1648479789495468,0.9517,17.4157108,176.17963070000002,3445.165155131079,60000,10000,269322,1.0273818969726562,481.8421096801758,42,0.01,64
